Date,Sales
2020-05-21,65834
2020-05-22,62829
2020-05-23,75825
2020-05-24,53127
2020-05-25,71228
2020-05-26,71019
2020-05-27,96145
2020-05-28,88857
2020-05-29,64624
2020-05-30,78345
2020-05-31,79205
2020-06-01,55421
2020-06-02,82816
2020-06-03,89776
2020-06-04,98865
2020-06-05,81149
2020-06-06,86876
2020-06-07,90631
2020-06-08,85406
2020-06-09,51112
2020-06-10,76234
2020-06-11,75074
2020-06-12,74171
2020-06-13,76890
2020-06-14,74065
2020-06-15,93665
2020-06-16,57448
2020-06-17,75932
2020-06-18,83180
2020-06-19,68323
2020-06-20,88732
2020-06-21,70813
2020-06-22,68264
2020-06-23,73957
2020-06-24,82643
2020-06-25,88993
2020-06-26,63060
2020-06-27,78349
2020-06-28,60247
2020-06-29,84470
2020-06-30,97465
2020-07-01,67536
2020-07-02,62358
2020-07-03,98203
2020-07-04,75649
2020-07-05,97020
2020-07-06,85230
2020-07-07,64577
2020-07-08,71719
2020-07-09,94044
2020-07-10,81249
2020-07-11,62643
2020-07-12,65544
2020-07-13,73370
2020-07-14,76579
2020-07-15,67632
2020-07-16,89909
2020-07-17,63714
2020-07-18,98988
2020-07-19,77780
2020-07-20,97410
2020-07-21,87237
2020-07-22,58224
2020-07-23,88895
2020-07-24,61829
2020-07-25,66584
2020-07-26,51838
2020-07-27,82534
2020-07-28,51261
2020-07-29,76811
2020-07-30,76248
2020-07-31,58316
2020-08-01,78860
2020-08-02,73295
2020-08-03,78548
2020-08-04,86400
2020-08-05,63249
2020-08-06,85915
2020-08-07,64288
2020-08-08,76389
2020-08-09,60141
2020-08-10,58735
2020-08-11,72780
2020-08-12,74097
2020-08-13,83475
2020-08-14,57490
2020-08-15,86011
2020-08-16,64600
2020-08-17,68680
2020-08-18,78943
2020-08-19,95343
2020-08-20,84426
2020-08-21,63644
2020-08-22,76909
2020-08-23,93945
2020-08-24,63362
2020-08-25,82614
2020-08-26,79018
2020-08-27,63350
2020-08-28,64688
2020-08-29,73662
2020-08-30,90294
2020-08-31,78300
2020-09-01,60900
2020-09-02,81912
2020-09-03,51074
2020-09-04,68375
2020-09-05,77669
2020-09-06,98731
2020-09-07,56269
2020-09-08,99639
2020-09-09,91954
2020-09-10,79287
2020-09-11,82203
2020-09-12,57356
2020-09-13,55822
2020-09-14,69396
2020-09-15,99665
2020-09-16,67234
2020-09-17,65336
2020-09-18,97747
2020-09-19,76814
2020-09-20,68802
2020-09-21,62494
2020-09-22,63498
2020-09-23,89796
2020-09-24,61315
2020-09-25,66328
2020-09-26,82229
2020-09-27,70031
2020-09-28,74857
2020-09-29,62299
2020-09-30,59822
2020-10-01,58196
2020-10-02,82978
2020-10-03,97855
2020-10-04,52829
2020-10-05,90626
2020-10-06,82815
2020-10-07,50128
2020-10-08,54461
2020-10-09,71884
2020-10-10,88795
2020-10-11,80813
2020-10-12,85605
2020-10-13,54443
2020-10-14,84565
2020-10-15,98735
2020-10-16,79481
2020-10-17,84100
2020-10-18,95694
2020-10-19,76807
2020-10-20,97265
2020-10-21,99125
2020-10-22,63882
2020-10-23,51433
2020-10-24,87962
2020-10-25,66851
2020-10-26,66799
2020-10-27,69153
2020-10-28,97342
2020-10-29,90735
2020-10-30,93740
2020-10-31,57955
2020-11-01,62187
2020-11-02,88029
2020-11-03,57417
2020-11-04,89951
2020-11-05,60008
2020-11-06,72623
2020-11-07,97395
2020-11-08,88244
2020-11-09,87115
2020-11-10,94205
2020-11-11,64790
2020-11-12,51818
2020-11-13,75252
2020-11-14,56995
2020-11-15,50738
2020-11-16,62086
2020-11-17,83047
2020-11-18,71719
2020-11-19,61727
2020-11-20,74079
2020-11-21,69048
2020-11-22,54827
2020-11-23,79186
2020-11-24,75385
2020-11-25,77270
2020-11-26,86529
2020-11-27,92724
2020-11-28,52114
2020-11-29,95476
2020-11-30,67075
2020-12-01,62075
2020-12-02,92320
2020-12-03,58226
2020-12-04,76954
2020-12-05,88030
2020-12-06,85144
2020-12-07,85815
2020-12-08,96719
2020-12-09,55632
2020-12-10,67663
2020-12-11,95125
2020-12-12,53804
2020-12-13,54009
2020-12-14,98381
2020-12-15,57366
2020-12-16,72465
2020-12-17,50103
2020-12-18,87575
2020-12-19,53008
2020-12-20,99842
2020-12-21,67909
2020-12-22,99859
2020-12-23,79052
2020-12-24,65659
2020-12-25,56874
2020-12-26,80855
2020-12-27,56816
2020-12-28,82289
2020-12-29,80504
2020-12-30,57760
2020-12-31,70397
2021-01-01,81184
2021-01-02,84071
2021-01-03,66161
2021-01-04,57926
2021-01-05,72091
2021-01-06,53224
2021-01-07,58363
2021-01-08,89778
2021-01-09,84901
2021-01-10,54372
2021-01-11,79490
2021-01-12,53539
2021-01-13,59128
2021-01-14,76932
2021-01-15,93585
2021-01-16,73266
2021-01-17,74123
2021-01-18,50990
2021-01-19,82496
2021-01-20,82579
2021-01-21,59167
2021-01-22,58808
2021-01-23,57606
2021-01-24,67650
2021-01-25,62332
2021-01-26,57222
2021-01-27,98949
2021-01-28,85978
2021-01-29,80873
2021-01-30,65111
2021-01-31,83876
2021-02-01,97088
2021-02-02,51897
2021-02-03,69305
2021-02-04,91525
2021-02-05,86574
2021-02-06,98177
2021-02-07,57421
2021-02-08,83390
2021-02-09,92939
2021-02-10,58488
2021-02-11,58095
2021-02-12,60683
2021-02-13,63102
2021-02-14,68302
2021-02-15,71074
2021-02-16,61407
2021-02-17,73687
2021-02-18,97638
2021-02-19,73617
2021-02-20,94725
2021-02-21,99720
2021-02-22,61067
2021-02-23,63838
2021-02-24,81984
2021-02-25,50399
2021-02-26,60309
2021-02-27,66727
2021-02-28,73560
2021-03-01,88960
2021-03-02,53396
2021-03-03,97503
2021-03-04,91735
2021-03-05,64118
2021-03-06,76554
2021-03-07,50464
2021-03-08,88156
2021-03-09,57439
2021-03-10,64001
2021-03-11,81776
2021-03-12,95822
2021-03-13,83679
2021-03-14,84717
2021-03-15,72389
2021-03-16,92561
2021-03-17,79519
2021-03-18,62204
2021-03-19,68560
2021-03-20,50209
2021-03-21,92338
2021-03-22,50588
2021-03-23,59184
2021-03-24,68431
2021-03-25,67355
2021-03-26,71411
2021-03-27,56973
2021-03-28,98078
2021-03-29,67124
2021-03-30,59682
2021-03-31,68584
2021-04-01,54693
2021-04-02,71343
2021-04-03,72042
2021-04-04,59184
2021-04-05,63983
2021-04-06,57150
2021-04-07,87176
2021-04-08,50023
2021-04-09,90714
2021-04-10,75841
2021-04-11,87804
2021-04-12,84407
2021-04-13,50677
2021-04-14,99757
2021-04-15,74108
2021-04-16,98288
2021-04-17,81106
2021-04-18,88629
2021-04-19,53694
2021-04-20,92936
2021-04-21,56718
2021-04-22,86024
2021-04-23,55965
2021-04-24,52421
2021-04-25,83051
2021-04-26,80429
2021-04-27,51846
2021-04-28,55568
2021-04-29,56404
2021-04-30,74053
2021-05-01,51509
2021-05-02,98392
2021-05-03,62667
2021-05-04,91303
2021-05-05,98670
2021-05-06,73292
2021-05-07,76144
2021-05-08,79995
2021-05-09,66392
2021-05-10,90960
2021-05-11,61585
2021-05-12,82067
2021-05-13,53822
2021-05-14,56496
2021-05-15,71664
2021-05-16,69560
2021-05-17,59389
2021-05-18,61153
2021-05-19,76428
2021-05-20,68783
2021-05-21,93317
2021-05-22,74818
2021-05-23,56205
2021-05-24,68119
2021-05-25,96058
2021-05-26,65464
2021-05-27,99567
2021-05-28,84874
2021-05-29,55871
2021-05-30,73617
2021-05-31,63768
2021-06-01,94690
2021-06-02,78254
2021-06-03,74078
2021-06-04,60329
2021-06-05,85876
2021-06-06,83057
2021-06-07,65262
2021-06-08,61660
2021-06-09,50480
2021-06-10,69705
2021-06-11,99641
2021-06-12,90408
2021-06-13,58054
2021-06-14,70282
2021-06-15,82706
2021-06-16,69840
2021-06-17,82481
2021-06-18,76247
2021-06-19,62502
2021-06-20,62354
2021-06-21,54730
2021-06-22,76210
2021-06-23,98283
2021-06-24,76347
2021-06-25,78732
2021-06-26,83872
2021-06-27,88026
2021-06-28,73569
2021-06-29,98731
2021-06-30,59796
2021-07-01,87134
2021-07-02,64104
2021-07-03,88961
2021-07-04,65393
2021-07-05,62309
2021-07-06,98219
2021-07-07,56387
2021-07-08,87773
2021-07-09,87404
2021-07-10,92525
2021-07-11,70989
2021-07-12,75860
2021-07-13,86147
2021-07-14,78573
2021-07-15,50559
2021-07-16,85998
2021-07-17,75156
2021-07-18,88511
2021-07-19,71689
2021-07-20,99622
2021-07-21,65775
2021-07-22,83794
2021-07-23,78976
2021-07-24,76239
2021-07-25,64558
2021-07-26,92123
2021-07-27,70633
2021-07-28,65062
2021-07-29,76681
2021-07-30,81739
2021-07-31,95389
2021-08-01,79264
2021-08-02,53166
2021-08-03,74739
2021-08-04,84917
2021-08-05,62092
2021-08-06,81635
2021-08-07,91072
2021-08-08,92793
2021-08-09,88892
2021-08-10,78399
2021-08-11,98611
2021-08-12,53802
2021-08-13,80149
2021-08-14,72211
2021-08-15,89373
2021-08-16,90886
2021-08-17,63623
2021-08-18,93937
2021-08-19,99519
2021-08-20,85072
2021-08-21,53238
2021-08-22,66199
2021-08-23,98231
2021-08-24,89611
2021-08-25,66278
2021-08-26,88488
2021-08-27,67422
2021-08-28,83894
2021-08-29,89824
2021-08-30,74037
2021-08-31,81000
2021-09-01,64960
2021-09-02,62588
2021-09-03,95311
2021-09-04,76750
2021-09-05,90298
2021-09-06,74576
2021-09-07,83012
2021-09-08,62992
2021-09-09,84141
2021-09-10,52656
2021-09-11,78938
2021-09-12,73482
2021-09-13,94203
2021-09-14,65693
2021-09-15,91301
2021-09-16,83641
2021-09-17,62094
2021-09-18,66690
2021-09-19,78800
2021-09-20,89492
2021-09-21,91351
2021-09-22,60974
2021-09-23,92207
2021-09-24,59371
2021-09-25,91330
2021-09-26,80380
2021-09-27,92718
2021-09-28,94464
2021-09-29,86011
2021-09-30,60019
2021-10-01,93415
2021-10-02,50932
2021-10-03,52251
2021-10-04,63896
2021-10-05,85172
2021-10-06,91296
2021-10-07,58896
2021-10-08,88930
2021-10-09,94169
2021-10-10,64749
2021-10-11,80316
2021-10-12,95869
2021-10-13,82661
2021-10-14,63865
2021-10-15,50940
2021-10-16,68757
2021-10-17,86522
2021-10-18,78823
2021-10-19,61088
2021-10-20,96466
2021-10-21,87609
2021-10-22,97828
2021-10-23,61610
2021-10-24,97291
2021-10-25,58831
2021-10-26,78928
2021-10-27,58334
2021-10-28,79590
2021-10-29,57090
2021-10-30,81034
2021-10-31,87591
2021-11-01,76525
2021-11-02,87626
2021-11-03,96009
2021-11-04,95913
2021-11-05,63891
2021-11-06,77288
2021-11-07,95468
2021-11-08,87417
2021-11-09,54475
2021-11-10,90240
2021-11-11,86118
2021-11-12,50008
2021-11-13,56325
2021-11-14,55880
2021-11-15,56514
2021-11-16,57110
2021-11-17,80879
2021-11-18,57446
2021-11-19,89830
2021-11-20,93906
2021-11-21,55484
2021-11-22,55642
2021-11-23,97296
2021-11-24,88034
2021-11-25,73487
2021-11-26,64624
2021-11-27,61555
2021-11-28,87635
2021-11-29,97674
2021-11-30,92373
2021-12-01,89958
2021-12-02,72382
2021-12-03,71525
2021-12-04,63068
2021-12-05,80882
2021-12-06,77697
2021-12-07,60756
2021-12-08,82600
2021-12-09,82690
2021-12-10,50961
2021-12-11,53382
2021-12-12,92800
2021-12-13,98055
2021-12-14,72630
2021-12-15,65963
2021-12-16,51525
2021-12-17,65444
2021-12-18,71860
2021-12-19,66494
2021-12-20,77625
2021-12-21,61108
2021-12-22,57411
2021-12-23,78717
2021-12-24,93827
2021-12-25,68912
2021-12-26,93954
2021-12-27,76564
2021-12-28,74059
2021-12-29,83396
2021-12-30,50189
